feature,importance
has_critic_score,0.05861921
runtime_standard,0.02033244
is_thriller,0.018767437
director_avg_rating,0.01825109
director_max_rating,0.017240144
is_us_production,0.01722201
company_zdf,0.016296014
country_united_states_of_america,0.016130865
has_budget,0.01608929
decade_2020.0,0.015862165
very_negative,0.014202996
engagement_low,0.013197243
has_star_actor,0.012283335
is_documentary,0.011929157
company_rai_cinema,0.011670416
decade_2010.0,0.011613769
company_arte_france_cinéma,0.011298558
country_france,0.011267114
total_cast_from_diversity,0.0111287655
budget_low,0.010882697
is_drama,0.010841427
release_year,0.0104153305
country_south_korea,0.010337104
company_lionsgate,0.010170875
gender_balance_score,0.010153727
budget_log,0.009936362
has_known_director_gender,0.009871826
runtime,0.009713295
cast_max_rating,0.0097052185
director_gender,0.009561783
engagement_medium,0.009430458
runtime_very_long,0.009359573
budget,0.009356789
engagement_very_low,0.009346048
balanced_cast,0.009289426
runtime_short,0.009274435
sentiment_strength,0.009190179
country_united_kingdom,0.009179935
very_positive,0.009107096
cast_avg_rating,0.009028293
likes_recency_weighted,0.008948043
female_cast_count,0.008844451
country_italy,0.008843781
engagement_high,0.008842732
female_cast_percentage,0.008726995
high_gender_balance,0.008719165
male_to_female_ratio,0.008680199
release_month,0.00859698
sentiment_negative,0.008594455
runtime_marathon,0.008532054
is_romance,0.008508237
is_summer_release,0.0085057635
runtime_long,0.008442986
views_recency_weighted,0.008294138
likes_exp_decay_30,0.008292109
views_exp_decay_30,0.008243245
company_france_3_cinéma,0.008238929
has_cast,0.008225911
budget_high,0.00819358
cast_count,0.008172148
sentiment_magnitude,0.008154839
budget_micro,0.008148594
is_comedy,0.008125243
male_dominated_cast,0.008085911
like_rate,0.008060871
release_quarter,0.007982756
company_arte,0.0079128295
production_company_count,0.007861624
sentiment_positive,0.007858741
male_cast_count,0.007857013
view_count,0.007668832
has_diversity_data,0.0076058526
country_india,0.0075714225
company_marvista_entertainment,0.0075583723
views_per_day,0.007516583
male_director,0.0074768295
comment_rate,0.0074649984
genre_count,0.0074075484
is_multi_director,0.0073465165
likes_per_day,0.007311868
country_canada,0.007263778
is_single_country,0.007255628
production_country_count,0.0071745683
is_international_coproduction,0.007148843
female_director,0.007033017
budget_medium,0.006762676
country_germany,0.0066991807
like_count,0.0066039115
is_holiday_release,0.006556479
has_trailer_data,0.0064763664
is_solo_director,0.0064664534
star_actor_count,0.006447454
low_gender_balance,0.006280033
comment_count,0.006201649
director_count,0.0061689173
company_universal_pictures,0.0060229776
country_spain,0.0058417725
company_canal,0.005026099
budget_blockbuster,0.0049250424
company_lifetime,0.0044959723
actor_jr,0.004181836
actor_danny_glover,0.0041450267
actor_michael_paré,0.003679361
country_japan,0.0032552956
company_france_2_cinéma,0.0025188592
female_dominated_cast,0.0023917146
director_michael_feifer,0.0
director_fred_olen_ray,0.0
director_david_decoteau,0.0
director_terry_ingram,0.0
director_damián_romay,0.0
actor_rao_ramesh,0.0
director_ryan_polito,0.0
director_doug_campbell,0.0
director_ron_oliver,0.0
director_jared_cohn,0.0
director_peter_sullivan,0.0
director_kevin_fair,0.0
director_steven_r_monroe,0.0
director_mark_polonia,0.0
actor_murali_sharma,0.0
director_christie_will_wolf,0.0
director_jason_bourque,0.0
has_runtime,0.0
has_rt_url,0.0
actor_tom_sizemore,0.0
company_hallmark_media,0.0
has_audience_score,0.0
has_top_director,0.0
moderate_negative,0.0
engagement_none,0.0
moderate_positive,0.0
has_director,0.0
neutral_sentiment,0.0
engagement_viral,0.0
has_genre,0.0
company_ard,0.0
company_reel_one_entertainment,0.0
company_toho,0.0
has_sentiment,0.0
actor_lochlyn_munro,0.0
actor_eric_roberts,0.0
actor_nassar,0.0
actor_prakash_raj,0.0
actor_siddique,0.0
actor_vennela_kishore,0.0
actor_vivica_a_fox,0.0
actor_michael_madsen,0.0
actor_suraj_venjaramoodu,0.0
actor_grey_delisle,0.0
actor_brahmanandam,0.0
actor_aju_varghese,0.0
actor_yogi_babu,0.0
actor_danny_trejo,0.0
